MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,2270,129.0,131,0.0,54.0
0,2271,121.0,123,0.0,52.0
0,2272,98.0,98,0.0,48.0
0,2273,144.0,143,0.0,60.0
0,2274,114.0,113,0.0,52.0
0,2275,68.0,69,0.0,40.0
0,2276,143.0,142,0.0,50.0
0,2277,206.0,208,0.0,72.0
0,2278,232.0,233,0.0,66.0
0,2279,178.0,177,0.0,56.0
0,2280,106.0,108,0.0,46.0
0,2281,163.0,164,0.0,58.0
0,2282,76.0,77,0.0,50.0
0,2283,242.0,242,0.0,70.0
0,2284,114.0,114,0.0,46.0
0,2285,108.0,108,0.0,46.0
0,2286,94.0,94,0.0,50.0
0,2287,86.0,84,0.0,42.0
0,2288,118.0,119,0.0,50.0
0,2289,168.0,167,0.0,56.0
0,2290,96.0,96,0.0,48.0
0,2291,129.0,127,0.0,58.0
0,2292,59.0,59,0.0,32.0
0,2293,96.0,96,0.0,48.0
0,2294,124.0,125,0.0,50.0
0,2295,148.0,148,0.0,60.0
0,2296,74.0,74,0.0,36.0
0,2297,107.0,107,0.0,48.0
0,2298,92.0,91,0.0,46.0
0,2299,116.0,116,0.0,54.0
0,2300,148.0,148,0.0,58.0
0,2301,173.0,172,0.0,62.0
0,2302,153.0,154,0.0,54.0
0,2303,112.0,112,0.0,46.0
0,2304,96.0,97,0.0,48.0
0,2305,83.0,82,0.0,42.0
0,2306,79.0,79,0.0,42.0
0,2307,88.0,87,0.0,38.0
0,2308,113.0,113,0.0,48.0
0,2309,243.0,243,0.0,72.0
0,2310,108.0,108,0.0,46.0
0,2311,178.0,178,0.0,66.0
0,2312,78.0,78,0.0,40.0
0,2313,112.0,111,0.0,54.0
0,2314,72.0,72,0.0,44.0
0,2315,88.0,90,0.0,52.0
0,2316,47.0,47,0.0,34.0
0,2317,147.0,147,0.0,56.0
0,2318,90.0,90,0.0,42.0
0,2319,179.0,180,0.0,62.0
0,2320,164.0,165,0.0,60.0
0,2321,75.0,76,0.0,46.0
0,2322,132.0,131,0.0,48.0
0,2323,99.0,99,0.0,42.0
0,2324,135.0,134,0.0,52.0
0,2325,142.0,142,0.0,52.0
